customer_tweet_id,amazon_tweet_id,customer_message,amazon_reply,message_length
1721608.0,1721607,@119959 @115828 I preordered this game 14 months ago just to be sent it for the wrong console. FML... https://t.co/EMBHygMbOL,@520984 I'm sorry for the mix-up! Please contact us so we can look into this and review options: https://t.co/hApLpMlfHN ^WT,125
665592.0,665591,@AmazonHelp 2ème colis qui devait arriver aujourd'hui et ne le sera pas...C'est quoi votre engagement Prime déjà?,@242837 Que dit le suivi de votre colis s'il vous plaît ? ^MA,113
820663.0,820661,@115821 are y’all ever gonna transfer my $50 gc on an account you closed without telling me...? jw,"@315479 To confirm, has your account been closed or has it been locked pending account information verification? ^EZ",98
2110004.0,2110003,@115821 dudes. You refunded me for the wrong item. I got my wine. Just not my #reesespeanutbuttercups the wine cost more! I only needed $4!,"@622478 We greatly appreciate your honesty! Please provide your info here: https://t.co/e1bGy9Xhvk, so we look into this for you. ^JN",139
399101.0,399100,@AmazonHelp Fuck u then why the hell u r having @AmazonHelp Twitter handle,@210361 Usually the products are delivered by the estimated delivery date. Could you let me know if we've missed it? ^AU,74
379365.0,379369,@AmazonHelp I had a scheduled furniture assembly yesterday which never happened. Upon calling the customer care they could not help much apart.,"@206017 Apologies for the delay, I'd like to look into this, kindly drop in your details here:https://t.co/beaaDm0muc and 1/2 ^EM",143
2262990.0,2262988,@115821 don’t tell me I got guaranteed delivery and then change the date the day I’m supposed to get everything 😤,@229000 I'm sorry to hear about this! Have you received an e-mail regarding any type of delay? ^VB,113
457656.0,457654,@AmazonHelp Amazon shipping.,@119036 Thanks for confirming with us! We'd like to look into this with you in more detail. Please reach out to us here: https://t.co/JzP7hlA23B so we can investigate! ^VB,28
1856105.0,1856107,@AmazonHelp just had chat with a representative and got assured delivery by 5 pm today. Lets see what happens....,@555171 Thanks. Do keep us posted. ^HK,113
1290402.0,1290404,@AmazonHelp My lights all appear here but my Dots do not. Should this be where I select them to add? https://t.co/L7OX9LKLlD,"@421770 Hello, Alanna! We want to help! Contact us here so we can get your Smart Home set up: https://t.co/hApLpMlfHN ^EA",124
2113644.0,2113646,@AmazonHelp It was a prime delivery option so should have had it Monday! Still says it’s out for delivery! You’ve also lost another parcel as well 👍🏼,"@623202 Give us a call, Chelsey, and we'll get this taken care of for you. Here's a link to help:  https://t.co/JzP7hlA23B ^EM",149
485273.0,485275,@AmazonHelp A special amazon line will be contacting me after a 24 hour investigation.. 3 days ago,@230457 Have you checked your emails to see if there was an email update? I would recommend checking the spam folders as well as the inbox.^BZ,98
1177151.0,1177148,@115821 your cust.service just implied that my missing items are my fault for living somewhere unsafe. Poor people dont deserve to get mail?,"@396878 That's certainly not the experience we want for our customers. To escalate this, please fill out: https://t.co/YR1ZlJwzJJ ^BE",140
109807.0,109809,"@AmazonHelp Hablo para que me hagan los reembolsos, me llega el correo de que ya quedó y en unas horas diciéndome que no se pudo hacer efectivo pues necesitan más información, y se vuelve a repetir el ciclo.",@140383 Sentimos los inconvenientes con esta situación. ¿Podrías indicarnos si los productos son vendidos directamente por Amazon o si han sido vendidos por un vendedor externo?  ^PC,207
1252203.0,1252201,"@AmazonHelp haven't got the cashback for the 1st Recharge via Amazon pay, it's being 15 days now, the recharge was meant for @120602",@413738 Apologies for the delay. May I know if you've reported this to our support team? ^EM,132
2804319.0,2804321,@AmazonHelp 毎週お世話になってます🙏🙏,@782199 これからもよろしくお願いいたします！！🙏🙏🙏✨✨,25
2608096.0,2608098,"@AmazonHelp No message, just a blank screen. Was working fine then just stopped. Is working on iPad just not tv",@737745 Have you checked for software/firmware updates? Other troubleshooting steps can be found here: https://t.co/FWB4Swd4IW ^AM,111
2830675.0,2830673,"Pre-orders are all well and good, @115830, but not when you immediately go out of stock of that item... and then won’t allow the order to be cancelled! https://t.co/lwpqSPVHGb","@788217 HI, I'm sorry to hear of this. Could you try another browser and let us know if you encounter the same issue? ^KI",175
2470068.0,2470067,@AmazonHelp Please find all details of order no. 405-3693108-4127531.,@706547 We'll not be able to check your information over Twitter. We'd like to know more about  this. Kindly share your details here: https://t.co/beaaDm0muc . Please don't provide your order details as we consider it to be personal info. Our page is visible to the public. ^GK,69
1477275.0,1477277,"@AmazonHelp The advisor said it was a duplicated order and they'd resolve it, but it's still showing ... https://t.co/ilOLeYn8J7","@182725 Thanks for the update. To confirm that this has been resolved, please contact us here: https://t.co/bDe2KyL3RU ^SE",128
62415.0,62414,@117086 EU TE VENEROOOOOO MEUS LIVROS JÁ CHEGARAM SCRR,"@130298 Oi verô, que felicidade! 😍 Quais livros você comprou? ^AZ",54
547962.0,547961,@115851 @115821 Amanda in your leadership team in your Oregon call center cost you a customer. Everything is canceled. Great Job Amazon!,"@147716 Eric, I'm sorry for the experience you've had and we want to help! Would you please give us the details of what happened? Also, please refrain from providing personal or account details. ^MW",136
2529310.0,2529309,"@116618 can you please let us buffer the video? I let the web page open for an hour, hoping the little HD icon would light up, in vain. I don't wanna watch content in 360p under the pretense that my internet connection is too slow for 1080p stream without buffer.","@720103 Thanks for reaching out. We're here to help! Have you tried the troubleshooting steps listed here: https://t.co/HePT2g8air 

-Susan T.",263
1668879.0,1668878,@117086 e @263285 faz um aplicativo fora da Playstore com suporte ao Android TV ou começa a vender o Firestick por aqui também.,"@508184 Ricardo, ainda não temos previsão mas suas sugestões nos ajudarão a melhorar nossa loja ^VL",127
2671599.0,2671601,"@AmazonHelp My mobile number listed is 9673101122, but u can reach me on 9818601122",@120032 Thanks for the heads-up! Did you happen to share your preference on the link provided earlier? (1/2),83
1243790.0,1243788,@115821 one question. If i buy Amazon Fire HD Tablet with Special Offers I can in the future pay 10 more GBP to remove ads? #Amazon #FireHD,@411802 You'll have the option to remove Special Offers for a 10GBP fee whenever you'd like! More info here: https://t.co/muPVkgX9JY ^WT,139
