customer_tweet_id,customer_message,gold_intent,gold_reply,retrieved_message,retrieved_reply,similarity
807327,@AmazonHelp I have cancelled the order 404-3104256-6132333 on 6 th oct since u guys did not deliver the product. When u r going to refund?,return_refund,@312377 We would like to help you. Please share your details with us here: https://t.co/GIJyeYqKE0. We'll get in touch shortly.(1/2) ^CB,@AmazonHelp you cancelled my order 😣,"@788211 Oh no! I'm sorry about the order being canceled! We're here to help any way we can. Just to clarify, did you receive an e-mail in regard to why the order has been canceled? You may also check your spam/junk folder. ^AL",0.41137816074309835
1380693,@115821 wanna tell me why the order I placed yesterday w/1-day shipping isnât scheduled 2 arrive until Wed? GRANDDAUGHTER B-DAY &amp; u SUCK,delivery_issue,@441383 I'm sorry for the wait. Some items aren't able to ship immediately. Was the date given on the confirmation e-mail missed? ^AN,@115821 wanna tell me why the order I placed yesterday w/1-day shipping isn’t scheduled 2 arrive until Wed? GRANDDAUGHTER B-DAY &amp; u SUCK,@441383 I'm sorry for the wait. Some items aren't able to ship immediately. Was the date given on the confirmation e-mail missed? ^AN,0.9548145125236726
907479,Hey @115821 and @2150 I needed to leave my house THREE HOURS AGO but plans (and myself) held hostage waiting for pkg. Unacceptable.,delivery_issue,@335494 I'm sorry for the delivery issues! We'd like to explore options; please reach us by phone here: https://t.co/hApLpMlfHN ^MV,"Having Amazon Prime Now here, I may never leave my house again","@693575 Sounds like a plan! We make it easy to have all the essentials delivered directly to your door! Thanks for being a Prime Member, Morgan! ^AD",0.29994835540437037
182978,@AmazonHelp yes i dropped all the details. it has been more than a week.,general_support,@159037 Kindly check it from the link shared here: https://t.co/NTkrxpsbHJ (2/2)^HR,@AmazonHelp Yes I have already dropped the details,"@130719 If you have shared your details with us, you should find our response here : https://t.co/DTSNmGldJf. Do keep us posted. ^CB",0.9455719941518419
458905,@115821 you need better customer service reps.,information_feedback,"@223983 Please be sure to leave feedback in the survey at the bottom of the e-mail sent after speaking with us. Once completed, these are sent to management for review to help with coaching opportunities. ^EP",Is this how customer service reps at @115821 should be speaking to customers? Very unprofessional. #amazon #UFCSP #DavidSPumpkinsHalloween https://t.co/3Wv18CCCjO,"@632644 I'm so sorry! After your chat, a survey will be provided where you can leave feedback about the agent you spoke with. ^AG",0.4499435746022402
2798674,"I donât know @115830, 1.2 million pounds for some earmuffs sounds kinda peak: https://t.co/CJrWrEfJHA https://t.co/JIYuuinEwO",non_support,@780846 Hey Alex! Thanks for bringing this to our attention. I have escalated this to the appropriate team. ^AJ,"I don’t know @115830, 1.2 million pounds for some earmuffs sounds kinda peak: https://t.co/CJrWrEfJHA https://t.co/JIYuuinEwO",@780846 Hey Alex! Thanks for bringing this to our attention. I have escalated this to the appropriate team. ^AJ,0.9540238484175382
549448,@AmazonHelp I can't get Alexa to recognize the band Tool she keeps trying to play The Tools. Any suggestions? Even if I ask for forty six and two by Tool she won't recognize it.,product_device_issue,"@247941 We'd like to try some real time troubleshooting with you. When you have a moment, please contact us by phone or chat here: https://t.co/EKXRLsnxJu ^AC",@115821  Very frustrating that currently your website is not working. Trying to shop your deals but won’t recognize my email,"@153847 I'm sorry for the trouble with your account. Are you seeing this message on multiple browsers and devices? If so, have you received an e-mail from our Account Specialists regarding your account status? ^RA",0.3231794779103099
2852110,"@116928 Buenas tardes! Tengo un producto defectuoso y no puedo contactar con el vendedor. 
NÃºmero del pedido:
 171-7713708-0461967
Â¿CÃ³mo he de proceder para su reembolso o sustituciÃ³n? Gracias",seller_issue,"@792979 Â¡Hola, EltSaC! Lamento los inconvenientes. Por motivos de seguridad, te recomiendo eliminar este tuit, pues contiene informaciÃ³n de tu cuenta. Â¿Seguiste las instrucciones indicadas en este enlace?: https://t.co/jFNuJZ8sjt ^CR","@116928 Buenas tardes! Tengo un producto defectuoso y no puedo contactar con el vendedor. 
Número del pedido:
 171-7713708-0461967
¿Cómo he de proceder para su reembolso o sustitución? Gracias","@792979 ¡Hola, EltSaC! Lamento los inconvenientes. Por motivos de seguridad, te recomiendo eliminar este tuit, pues contiene información de tu cuenta. ¿Seguiste las instrucciones indicadas en este enlace?: https://t.co/jFNuJZ8sjt ^CR",0.9694763123125262
1558898,i'm crying my amazon package was supposed to arrive at 9 and it's def 9:20,delivery_issue,@481768 I'm sorry for the wait! Will you tell us which carrier is shown for your order here: https://t.co/Y5jpI9gRhE? ^DW,WHERE IS MY AMAZON PACKAGE?!,@178241 I'm sorry you haven't received your package yet? What is the delivery date shown on your order here: https://t.co/Y5jpI9gRhE? ^JF,0.4137355917289472
1397901,YO @115823 Where is my money from last week =( I got bills to pay soon fam =\,return_refund,"@164726 Hi, are you waiting on a refund? Please tell us more without sharing account or order info. ^AT",@115823 can i pay my postpaid bills through amezon pay,@145885 Please refer here: https://t.co/dA5wWFcBOY for information on services were Amazon Pay can be used. ^AP,0.42434603548578964
